Name,Info,Source
,,
Museums_Rank,"Rankings based on number, type, and quality of museums",http://www.ranker.com/list/u-s-cities-with-the-best-museums-07/travelgrrl?format=SLIDESHOW&page=4
Sports_Rank,Ranked by a variety of factors related to sporting events and professional franchises.,http://fansided.com/2015/08/03/ranking-the-best-sports-cities-in-the-united-states/2/
Annual_Income_Rank,Rankings based on median annual earnings.,http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_14_5YR_S2001&prodType=table
Monthly_Rent_Rank,Rankings based on median rent.,http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_14_5YR_B25064&prodType=table
Rent_Income_Ratio_Rank,Rankings based on the ratio of monthly rent to monthly income.,http://factfinder.census.gov/faces/tableservices/jsf/pages/productview.xhtml?pid=ACS_14_5YR_S2001&prodType=table
Price_of_Weed_Rank,Rankings based on dollars per ounce of marijuana.,http://www.priceofweed.com/
Farmers_Markets_Rank,"Rankings based on farmer's markets per 100,000 people.",http://priceonomics.com/the-crunchy-cities-index/
Pet_Friendly_Rank,"Rankings based on landlord tolerance, pet fees, and concentration of pet services and stores.",http://www.trulia.com/blog/trends/pet-rental-markets/
LGBTQ_Friendly_Rank,Rankings based on 16 different factors related to LGBTQ lifestyle.,http://www.vocativ.com/culture/lgbt/vocativ-queer-index/#DesMoines
Food_Rank,"Rankings based on the cities' finest restaurants, signature dishes, traditional cuisine, and strength of the dining culture.",https://www.thrillist.com/eat/nation/best-us-cities-for-food-best-food-cities-in-america
Music_Rank,Rankings based on reader input of best/favorite music scenes in the US.,http://www.travelandleisure.com/slideshows/americas-best-cities-for-music-scenes
Safety_Rank,"Rankings based on violent crime, workplace fatality rates, traffic death rates, and natural disaster risk.",http://www.forbes.com/2009/10/26/safest-cities-ten-lifestyle-real-estate-metros-msa_chart.html
Shopping_Rank,"Rankings based on number of retail locations, shopping centers, and sales tax.",http://www.forbes.com/2010/12/13/best-cities-for-shopping-forbes-woman-time-retail-walmart-sales-tax_slide_23.html
Fitness_Rank,Rankings based on a set of 24 metrics from budget and local participation to number of sports facilities and quality of outdoor environment.,https://wallethub.com/edu/best-and-worst-cities-for-an-active-lifestyle/8817/
Parks_Rank,"Rankings based on accessibility, acreage, facilities, and investment in parks and greenspace.",http://parkscore.tpl.org/rankings.php
Transit_Rank,"Rankings based on ""usefulness"" of transit routes based on frequency, type of route, and distance to nearest stop on the route.",https://www.walkscore.com/transit-score-methodology.shtml
Bike_Rank,"Rankings based on bike infrastructure, hills, road connectivity, and number of bike commuters.",https://www.walkscore.com/bike-score-methodology.shtml
Walk_Rank,Rankings based on pedestrian friendliness and distance to amenities in cities.,https://www.walkscore.com/methodology.shtml
Bars_Rank,"Rankings based on umber of bars per 10,000 workers.",http://cityobservatory.org/best-bar-cities/