state,March_15,April_15,May_15,June_15,July_15,August_15,September_15,October_15,November_15,December_15,January_16,February_16,March_16,state_total,Lon,Lat,name
AL,0,0,0,0,0,0,2700,70.16,20.16,30.16,0,0,0,2820.48,-86.827719,32.773329,Alabama
AK,0,0,0,0,0,0,0,100,175,700,0,0,0,975,-151.3,64.9,Alaska
AZ,0,0,1000,0,4400,0,0,556.81,310,5810,0,0,0,12076.81,-111.658929,34.294776,Arizona
AR,0,0,5400,8100,0,0,0,0,2700,3000,0,0,0,19200,-92.44427,34.921992,Arkansas
CA,0,0,43550,79550,12220,29600,41095.16,22415,31140,20131,10529,5660,0,295890.16,-121,37.255299,California
CO,0,0,6800,32350,1000,500,14041.17,883.07,-215,1755,3958,5250,0,66322.24,-105.546087,38.999137,Colorado
CT,0,0,100,20200,2700,3200,12200,5975,5475,1400,350,250,0,51850,-72.737122,41.606924,Connecticut
DE,0,0,2900,550,100,0,400,25,650,1250,0,0,0,5875,-75.499779,38.993921,Delaware
DC,0,0,28770,46072,8845.16,8170.16,15200.16,11070.16,4530.16,1315.16,6600,0,0,130572.96,-77.018293,38.896097,District of Columbia
FL,0,0,13535,64815.16,1925,10100,5820.16,10377.53,11500,27325,4950,0,0,150347.85,-81.5,28.615732,Florida
GA,0,0,2700,8450,1000,0,500,0,0,0,500,0,0,13150,-83.2,32.652474,Georgia
HI,0,0,0,0,25,3045,5495,95,1175,175,1100,55,0,11165,-155.4,19.6,Hawaii
ID,0,0,500,0,0,0,0,0,0,0,0,0,0,500,-114,44,Idaho
IL,0,0,5400,35250,550,5600,33225,5042,25135,5765,7748,0,0,123715,-89.202674,40.061203,Illinois
IN,0,0,0,0,5450,35,1110,40,60,375,570,0,0,7640,-86,39.902306,Indiana
IA,0,0,500,1000,700,2600,7670,1885,11835.7,1240,0,0,0,27430.7,-93.506079,42.083992,Iowa
KS,0,0,500,500,500,1500,0,0,0,0,250,0,0,3250,-98.380047,38.482145,Kansas
KY,0,0,47450,23850,2700,0,15250,5292.94,650,18550,325,0,0,114067.94,-84.7,37.513983,Kentucky
LA,0,0,0,3200,0,0,4900,0,0,250,0,0,0,8350,-91.956502,31.048572,Louisiana
ME,0,0,0,0,0,2700,1000,3875,50,0,250,0,0,7875,-69.217654,45.336854,Maine
MD,0,0,317860.48,561249.6,73370,84075,252279.53,60813.9,50643.32,50796.36,75716.8,1950,0,1528754.99,-76.768453,39.032646,Maryland
MA,0,0,31208.31,54328.08,15200,8050,53585,1920,8985,33390,17230,150,0,224046.39,-71.733952,42.237892,Massachusetts
MI,0,0,5400,8150,500,4336,5400,5625,210,240,1270,260,0,31391,-84.5,43,Michigan
MN,0,0,6400,175,4460,12850,250,985,1075,0,498,0,0,26693,-94.296494,46,Minnesota
MS,0,0,2700,0,100,100,100,100,100,9700,0,0,0,12900,-89.661244,32.767379,Mississippi
MO,0,0,0,1500,250,2700,0,1700,0,0,2850,0,0,9000,-92.480117,38.379759,Missouri
MT,0,0,0,0,0,0,250,250,0,0,250,0,0,750,-109.657143,47.048656,Montana
NE,0,0,5500,2700,300,100,200,10150,0,1350,100,0,0,20400,-99.813973,41.523428,Nebraska
NV,0,0,0,250,0,2600,2700,50,9450,0,0,0,0,15050,-116.649615,39.347228,Nevada
NH,0,0,3500,9350,620.16,445.16,9745.16,3326.16,6800.16,1840.16,1413,25,0,37064.96,-71.563059,43.69196,New Hampshire
NJ,0,0,5400,18600,3500,1830,4800,475,7675,6650,1880,0,0,50810,-74.669503,40.205609,New Jersey
NM,0,0,0,3200,500,300,550,0,0,250,125,0,0,4925,-106.087356,34.416615,New Mexico
NY,0,0,35550,104450,14900,11400,17175,22345,28979,5503,11055,250,0,251357,-75.502933,42.927867,New York
NC,0,0,2700,1000,250,0,2775,855.25,2310,800,2328,150,0,13168.25,-79.251255,35.536226,North Carolina
ND,0,0,0,250,0,0,0,50,0,0,0,0,0,300,-100.483902,47.461886,North Dakota
OH,0,0,5400,4200,0,0,750,1345,100,3400,1175,0,0,16370,-82.5,40,Ohio
OK,0,0,500,0,0,0,1000,0,1000,0,0,0,0,2500,-97.502839,35.58171,Oklahoma
OR,0,0,3200,701,0,3000,300,750,550,0,0,0,0,8501,-120.537708,43.944367,Oregon
PA,0,0,400,28600,25,14685,39274,6375.55,3495,4910,3390,0,0,101154.55,-77.807272,40.874089,Pennsylvania
RI,0,0,18100,2250,10550,500,0,200,170,0,600,0,0,32370,-71.531002,41.682406,Rhode Island
SC,0,0,2700,1250,0,0,0,9065,2745,2050,500,100,0,18410,-80.883023,33.900651,South Carolina
SD,0,0,0,0,0,0,0,0,0,0,0,0,0,50751.42,-100.22772,44.44542,South Dakota
TN,0,0,10800,6660,11800,10616,2300,215.42,410,1750,6200,0,0,152712,-86.322209,35.838538,Tennessee
TX,0,0,7900,19250,1025,3380,5725,10873,69480,6350,19079,9650,0,#REF!,-98.5,31.3,Texas
UT,0,0,2700,0,0,0,0,0,0,0,0,0,0,2700,-111.669552,39.329209,Utah
VT,0,0,0,0,0,0,0,0,250,0,250,0,0,500,-72.662015,44.07374,Vermont
VA,0,0,17550,45850,1300,1765,32300,10635.16,11349.16,28529.16,14140.16,195,0,163613.64,-78.810097,37.507621,Virginia
WA,0,0,5400,0,1100,300,500,1110,400,2075,1778,600,0,13263,-120.398462,47.380244,Washington
WV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-80.610605,38.644907,West Virginia
WI,0,0,2700,800,0,250,1005,150,825,1100,10,500,0,7340,-89.7,44.5,Wisconsin
WY,0,0,0,0,0,0,0,1000,0,0,0,0,0,1000,-107.553549,43.027008,Wyoming
