name,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,region_code
Anhui Province,111.4583333,110.5921053,105.6081081,106.4070352,107.0415134,106.8139963,107.0672873,108.4917105,107.5907591,108.0443828,107.8807947,108.3466581,a12
Beijing Municipality,129.5193312,125.0698603,113.1412104,106.5337182,104.4577685,104.2079807,102.5307951,103.950104,100.7393715,100.4646691,108.9168071,102.5549849,a1
Chongqing Municipality,118,106.4166667,106.4464875,104.7154556,105.1520066,105.8101135,106.802114,107.9975355,108.625283,109.1956987,107,102,a22
Fujian Province,108.4337349,104.9034175,113.0853994,107.1849234,106.9672131,108.0615942,106.4754098,106.7961165,106.4581917,106.8370607,106.291591,101.6543069,a13
Gansu Province,115.4566346,114.6036937,109.1913434,108.0952749,106.9836048,106.9067554,106.5693273,107.4254825,104.4644153,106.350617,107.5987496,105.931006,a28
Guangdong Province,102.0897915,110,107,102.5598298,102.9430425,104.0820784,104.4942282,105.9521425,106,107,103.6662146,102.5931214,a19
Guangxi Zhuang Autonomous Region,106.7254686,106.5392354,105.6818182,105.6349874,105.2439913,106.1171925,106.1771562,107.3340471,108.2474227,109.7414589,109.5721217,110.6690778,a20
Guizhou Province,100.3109541,102.1878186,98.6951106,103.3790199,103.4087093,103.1798149,103.1125188,105.084009,106.4137713,107.2782062,110.0843533,106.1399873,a24
Hainan Province,95.68698961,98.93319969,98.72759183,103.6919479,103.4775595,104.3769797,103.0091487,106.8725548,108.9109535,108.5910257,112.5384325,110.483502,a21
Hebei Province,102.5096525,102.816092,103.6099138,104.0439341,104.0358744,104.8790659,105.3237982,105.7863501,104.4820717,102.9959003,103.6618859,100.9090909,a3
Heilongjiang Province,117.7656447,117.6604757,116.7681834,109.8023793,107.5018508,106.9469708,105.1876521,104.8450085,104.6793761,104.0805073,104.5454545,102.4484604,a8
Henan Province,104.2938931,104.1246161,102.5220681,102.1604938,102.8273309,103.4316677,103.7762238,105.1503268,105.4882395,104.5403461,106.5752232,106.8177006,a16
Hubei Province,106.652438,106.625416,105.9326574,104.8037308,104.7474742,105.3635902,105.2144162,106.230149,106.5163659,105.2276962,108.594368,107.6411674,a17
Hunan Province,108.8021353,111.5966489,108.45471,107.669706,107.8245664,108.2179895,107.8664069,108.700284,108.3793111,108.2267822,109.0304146,107.6840732,a18
Inner Mongolia Autonomous Region,121.9643458,124.3811552,128.8816295,117.4073453,115.4624277,112.1201025,109.5945493,107.3331276,108.9468599,108.2786287,107.1603213,106.2397373,a5
Jiangsu Province,102.5552603,100.6976627,99.36606921,100.6988393,100.6858815,101.7757029,102.3619498,104.0397605,103.6247976,103.2533094,102.5800672,100.0797696,a10
Jiangxi Province,104.7127937,105.0226718,108.6369771,105.9563758,106.4132258,106.6912686,106.5172087,107.1592988,107.3398988,105.3011926,108.3103189,103.5840771,a14
Jilin Province,113.3236635,111.7864693,112.8427788,107.7439797,106.3900599,105.6906518,104.9601335,105.0687132,104.6975925,104.3826616,103.54044,103.0888618,a7
Liaoning Province,107.751938,106.8097015,108.8979592,105.1132213,104.9169435,104.7411104,104.1569087,104.4370494,104.2231491,104.0465352,103.4940945,100.5225653,a6
Ningxia Hui Autonomous Region,111.2359551,112.5788593,117.9781029,110.7126266,108.298911,108.0446644,106.8293763,106.3915576,106.0713337,105.6759794,105.0303299,105.2146078,a30
Qinghai Province,100.7536692,104.8641242,134.7748088,111.3250802,109.4606608,107.6350437,106.2718914,104.7650163,105.0664224,104.9141932,107.0389225,104.502673,a29
Shaanxi Province,111.1613876,117.9161372,114.5695364,109.8825832,108.7704213,108.3591331,107.703595,109.0529248,108.6847074,109.4812165,108.4668192,105.9800664,a27
Shandong Province,93.49457882,100,100.2315708,100.7381371,101.28125,102.2338265,102.5541366,103.9491121,104.2181818,103.6750936,103.3763879,103.0636985,a15
Shanghai Municipality,117.3489193,111.456884,102.1085259,98.63976464,98.38891663,98.06482469,98.62790617,100.4464653,101.7148156,101.7972057,101.4311406,100.9988918,a9
Shanxi Province,111.4460745,113.3946252,114.6584321,111.7673682,111.203361,110.8578122,110.3814459,110.4786648,108.5089549,109.2052485,107.2755122,105.0981111,a4
Sichuan Province,103.9061752,104.6267969,105.56033,103.3283441,104.2383748,104.2091193,105.2143984,106.6427139,107.4571549,108.0717946,107.6643778,105.3513378,a23
Tianjin Municipality,109.8876173,109.1232888,107.3962184,104.2070887,102.7648338,103.7098223,102.9731414,103.3504308,103.2019704,102.67307,102.051532,101.7678395,a2
Tibet Autonomous Region,108,110,94.45635528,95.35546374,94.51949054,94.93948127,95.5255382,97.36816068,98.47988349,97.68378651,98.93895004,102.0617778,a26
Xinjiang Uyghur Autonomous Region,107.865694,113.9280191,123.2257855,113.1205099,107.610706,105.604331,104.2270109,104.8891364,105.5046365,104.2902992,107.2539615,105.0017845,a31
Yunnan Province,108,98.78362908,98.02968538,99.09500594,99.16858277,99.95216605,100.4187245,102.9268582,105.0005495,106.2448304,106.9894572,107.1687925,a25
Zhejiang Province,109.7973675,110.6158218,110.5083003,108.6328651,108.0696778,108.0821397,107.8544696,107.8303342,107.4715853,107.0826363,106.0356666,104.7279473,a11