Name,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016
Adams,0,0.02,0.05,0.05,0.11,0.03,0.02,0.01,0.03,0.09,0.02,0.04
Asotin,0.11,0.1,0.09,0.12,0.29,0.13,0.39,0.15,0.02,0.02,0.14,0
Benton,0.01,0.01,0.03,0.04,0.04,0.02,0.05,0.04,0.02,0.05,0.04,0.02
Chelan,0.08,0.09,0.05,0.1,0.08,0.12,0.03,0.03,0.02,0.03,0.01,0.01
Clallam,0.02,0.02,0.05,0.08,0.02,0.07,0.04,0.08,0.14,0.13,0.18,0.14
Clark,0.03,0.03,0.08,0.1,0.1,0.08,0.07,0.05,0.12,0.12,0.14,0.13
Columbia,0.06,0.24,0.18,999,0.2,0.25,999,999,0,0,0.26,0.4
Cowlitz,0,0.01,0.01,0,0.02,0.02,0.03,0.02,0.02,0.04,0.05,0.05
Douglas,0.01,0,0.01,0.02,0.02,0,0.03,0.12,0.06,0.07,0.07,0.08
Ferry,0.08,0.13,0.08,0.06,0.16,0.06,0.13,0.04,0.08,0.27,0.23,0.15
Franklin,0.01,0.01,0,0.02,0.03,0.01,0.01,0.01,0.01,0.01,0.02,0.02
Garfield,0.1,0,0.22,0,0.06,999,999,0,0,0,0,0.05
Grant,0.03,0.05,0.09,0.1,0.14,0.11,0.14,0.13,0.06,0.05,0.07,0.08
Grays Harbor,0.03,0.06,0.11,0.15,0.13,0.14,0.11,0.1,0.08,0.11,0.2,0.12
Island,0.07,0.08,0.1,0.09,0.15,0.11,0.08,0.02,0.05,0.17,0.08,0.07
Jefferson,0.18,0.01,0.27,0.19,0.3,0.31,0.19,0.37,0.32,0.11,0.22,0.31
King,0.12,0.12,0.09,0.09,0.16,0.12,0.12,0.12,0.1,0.09,0.13,0.09
Kitsap,0.02,0.02,0.03,0.05,0.07,0.06,0.07,0.07,0.06,0.08,0.07,0.05
Kittitas,0.03,0.02,0.12,0.17,0.31,0.1,0.21,0.16,0.06,0.21,0.23,0.14
Klickitat,0.03,0.04,0.04,0.02,0.07,0.06,0.05,0.04,0,0.1,0.05,0.03
Lewis,0.02,0.01,0.05,0.06,0.11,0.04,0.02,0.06,0.06,0.09,0.05,0.06
Lincoln,0,0.02,0.01,0.05,0.03,0,0.08,0.11,0.17,0.21,0.28,0.09
Mason,0.1,0.08,0.15,0.18,0.12,0.11,0.14,0.12,0.09,0.09,0.13,0.12
Okanogan,0.12,0.25,0.21,0.21,0.25,0.11,0.12,0.08,0.05,0.37,0.13,0.11
Pacific,0.01,0.09,0.05,0.06,0.17,0.11,0.1,0.02,0.04,0.03,0.1,0.03
Pend Oreille,0.06,0.14,0.05,0.12,0.11,0.18,0.11,0.23,0.17,0.29,0.25,0.22
Pierce,0.03,0.02,0.04,0.03,0.05,0.03,0.04,0.05,0.04,0.08,0.09,0.06
San Juan,0.04,0.19,0.1,0.18,0.19,0.48,0.62,0.29,0.27,0.41,0.11,0.43
Skagit,0,0.01,0.06,0.05,0.05,0.06,0.07,0.05,0.04,0.07,0.04,0.02
Skamania,0.15,0.17,0.26,0.23,0.29,0.06,0.37,0.05,999,0.29,0.19,0.03
Snohomish,0.05,0.03,0.05,0.06,0.07,0.05,0.04,0.07,0.06,0.07,0.07,0.09
Spokane,0.05,0.09,0.1,0.09,0.13,0.11,0.13,0.1,0.07,0.19,0.18,0.06
Stevens,0.02,0.04,0.08,0.06,0.28,0.03,0.09,0.08,0.05,0.16,0.07,0.14
Thurston,0.09,0.11,0.08,0.15,0.23,0.18,0.19,0.22,0.16,0.25,0.18,0.19
Wahkiakum,0.21,0.32,999,999,0.03,0.03,0.03,999,0.03,0,0.06,0.11
Walla Walla,0.02,0,0.02,0.05,0.03,0.04,0.02,0.07,0.03,0.12,0.12,0.07
Whatcom,0.08,0.1,0.14,0.08,0.1,0.08,0.08,0.13,0.05,0.1,0.09,0.12
Whitman,0.14,0.09,0.15,0.04,0.13,0.07,0.11,0.03,0.04,0.14,0.1,0.14
Yakima,0.07,0.09,0.08,0.08,0.14,0.17,0.17,0.17,0.14,0.11,0.08,0.1