state,latitude,longitude,postal,disease,Cases in 1993,Cases in 1994,Cases in 1995,Cases in 1996,Cases in 1997,Cases in 1998,Cases in 1999,Cases in 2000,Cases in 2001,Cases in 2002,Cases in 2003,Cases in 2004,Cases in 2005,Cases in 2006,Cases in 2007,Cases in 2008,Cases in 2009,Cases in 2010,Cases in 2011,Cases in 2012,Cases in 2013
Alaska,61.39,-152.27,AK,Measles,2,10,0,63,0,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,61.39,-152.27,AK,Mumps,11,4,12,3,8,3,3,8,1,0,1,2,1,3,2,5,6,1,1,0,0
Alaska,61.39,-152.27,AK,Pertussis,5,0,1,3,16,15,5,21,16,7,67,14,159,91,89,277,59,45,27,353,317
Alabama,32.80,-86.81,AL,Measles,1,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
Alabama,32.80,-86.81,AL,Mumps,22,12,5,6,9,9,11,4,0,3,4,4,6,47,14,5,6,6,2,2,4
Alabama,32.80,-86.81,AL,Pertussis,65,35,38,26,34,27,21,20,37,37,19,49,82,106,91,69,305,206,143,212,200
Arkansas,34.95,-92.38,AR,Measles,0,5,2,0,0,0,5,1,0,0,0,0,0,0,0,2,0,0,0,2,0
Arkansas,34.95,-92.38,AR,Mumps,10,7,7,1,3,13,0,3,0,0,1,0,2,8,4,5,4,5,4,1,3
Arkansas,34.95,-92.38,AR,Pertussis,18,33,59,14,62,93,26,44,858,488,92,95,321,112,173,197,369,245,80,248,466
Arizona,33.77,-111.39,AZ,Measles,0,5,10,8,5,9,1,0,1,0,0,0,0,0,0,13,0,0,0,2,0
Arizona,33.77,-111.39,AZ,Mumps,19,99,2,1,34,6,8,6,2,1,1,7,1,40,10,5,10,5,0,3,1
Arizona,33.77,-111.39,AZ,Pertussis,70,122,164,33,45,241,139,143,690,717,211,278,1108,508,210,218,277,546,867,1130,1440
California,36.17,-119.75,CA,Measles,89,51,106,37,16,5,13,13,25,5,0,3,2,0,1,13,6,9,12,5,7
California,36.17,-119.75,CA,Mumps,285,258,211,185,151,110,95,89,48,70,58,55,47,31,42,31,16,29,43,34,30
California,36.17,-119.75,CA,Pertussis,619,594,531,780,483,1085,1144,631,706,1120,1255,1109,3182,1749,590,534,869,7195,2319,795,2011
Colorado,39.06,39.06,CO,Measles,3,24,26,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
Colorado,39.06,39.06,CO,Mumps,18,4,3,5,3,7,6,1,3,2,1,3,6,51,17,8,6,8,7,7,4
Colorado,39.06,39.06,CO,Pertussis,187,228,149,336,415,357,313,488,389,465,372,1184,1383,710,307,161,231,540,416,1494,1418
Connecticut,41.58,-72.76,CT,Measles,9,4,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
Connecticut,41.58,-72.76,CT,Mumps,8,12,4,1,1,3,0,3,0,1,1,0,1,0,2,0,1,11,0,0,4
Connecticut,41.58,-72.76,CT,Pertussis,102,44,34,49,36,54,35,54,24,30,77,67,85,126,89,55,56,107,68,182,61
District of Columbia,38.90,-77.03,DC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
District of Columbia,38.90,-77.03,DC,Mumps,1,0,0,0,0,0,2,0,0,0,0,0,0,1,1,2,2,3,2,2,1
District of Columbia,38.90,-77.03,DC,Pertussis,14,11,8,4,3,1,1,3,1,2,4,13,11,6,9,7,7,16,9,26,42
Delaware,39.35,-75.51,DE,Measles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
Delaware,39.35,-75.51,DE,Mumps,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,1,0,0,0,0
Delaware,39.35,-75.51,DE,Pertussis,11,3,10,26,1,5,8,9,0,4,9,16,16,3,11,18,13,15,29,57,57
Florida,27.83,-81.72,FL,Measles,24,18,10,0,3,2,0,2,0,1,0,0,0,0,4,0,0,0,3,0,5
Florida,27.83,-81.72,FL,Mumps,48,40,28,32,29,22,17,7,8,7,7,9,8,15,21,16,18,10,11,5,1
Florida,27.83,-81.72,FL,Pertussis,104,109,94,100,90,66,113,67,29,53,113,132,208,228,211,314,497,328,312,575,732
Georgia,32.99,-83.65,GA,Measles,0,5,4,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0
Georgia,32.99,-83.65,GA,Mumps,20,18,11,9,11,2,4,2,9,2,3,2,2,6,0,3,0,5,5,3,10
Georgia,32.99,-83.65,GA,Pertussis,56,37,30,35,18,38,52,52,23,29,36,28,48,102,37,115,223,247,179,318,317
Hawaii,21.11,-157.53,HI,Measles,11,8,0,40,2,0,0,0,2,0,14,1,1,0,0,1,0,4,0,0,0
Hawaii,21.11,-157.53,HI,Mumps,30,19,14,31,27,26,16,23,42,22,13,9,18,6,2,4,5,5,3,1,0
Hawaii,21.11,-157.53,HI,Pertussis,14,19,61,35,19,26,51,41,42,30,12,30,183,87,19,20,46,67,59,73,50
Iowa,42.00,-93.21,IA,Measles,0,6,0,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0,0,0
Iowa,42.00,-93.21,IA,Mumps,11,16,11,3,10,11,8,8,1,1,2,2,6,1964,27,24,15,38,8,6,3
Iowa,42.00,-93.21,IA,Pertussis,38,23,11,32,207,78,111,67,139,157,166,1066,1106,345,150,257,235,697,232,1736,308
Idaho,44.24,-114.51,ID,Measles,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,44.24,-114.51,ID,Mumps,6,10,4,0,6,7,4,1,2,1,1,3,0,7,7,2,3,1,2,0,0
Idaho,44.24,-114.51,ID,Pertussis,101,172,116,115,570,263,146,64,171,151,82,66,220,88,45,40,99,187,192,235,237
Illinois,40.34,-89.00,IL,Measles,5,18,0,2,6,1,0,3,0,1,0,0,1,0,0,32,0,0,1,0,0
Illinois,40.34,-89.00,IL,Mumps,74,110,48,24,17,10,16,6,21,18,8,10,10,798,170,91,47,31,78,32,26
Illinois,40.34,-89.00,IL,Pertussis,434,111,155,192,155,173,140,133,194,231,321,1554,922,588,199,628,648,1057,1509,2026,785
Indiana,39.86,-86.26,IN,Measles,1,0,0,0,0,2,1,0,0,1,0,0,32,0,0,0,0,0,13,13,1
Indiana,39.86,-86.26,IN,Mumps,8,7,10,8,15,7,5,2,3,2,3,2,1,10,3,2,2,4,3,4,4
Indiana,39.86,-86.26,IN,Pertussis,178,97,76,128,104,185,90,153,116,183,104,364,396,280,68,270,392,747,367,441,616
Kansas,38.51,-96.80,KS,Measles,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0
Kansas,38.51,-96.80,KS,Mumps,1,1,0,2,1,4,4,3,5,6,3,10,0,968,28,2,7,5,4,4,0
Kansas,38.51,-96.80,KS,Pertussis,24,18,23,14,33,105,56,42,31,63,46,250,542,310,104,106,240,182,145,887,405
Kentucky,37.67,-84.65,KY,Measles,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Kentucky,37.67,-84.65,KY,Mumps,0,0,0,0,3,1,0,1,3,3,0,0,0,1,0,0,1,1,0,2,2
Kentucky,37.67,-84.65,KY,Pertussis,38,60,27,142,74,95,49,63,96,103,53,98,155,59,33,183,226,303,179,666,383
Louisiana,31.18,-91.87,LA,Measles,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Louisiana,31.18,-91.87,LA,Mumps,20,38,15,21,17,8,11,5,2,1,1,9,8,3,1,1,1,8,0,2,2
Louisiana,31.18,-91.87,LA,Pertussis,14,15,22,15,21,13,9,21,12,7,11,23,51,24,21,95,149,50,31,72,214
Massachusetts,42.24,-71.53,MA,Measles,11,1,3,9,10,1,4,0,2,0,0,1,0,17,0,1,1,1,17,0,0
Massachusetts,42.24,-71.53,MA,Mumps,1,3,3,1,4,6,4,1,2,2,1,4,7,12,14,7,15,9,4,6,69
Massachusetts,42.24,-71.53,MA,Pertussis,408,534,492,1245,582,805,649,1411,537,602,1670,1698,1167,1238,1178,800,358,284,271,648,349
Maryland,39.07,-76.79,MD,Measles,0,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0
Maryland,39.07,-76.79,MD,Mumps,82,65,41,37,1,0,6,9,8,9,5,4,10,48,19,11,8,12,2,0,87
Maryland,39.07,-76.79,MD,Pertussis,133,74,49,278,119,66,124,133,53,68,94,159,219,152,118,164,148,139,123,369,213
Maine,44.61,-69.40,ME,Measles,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maine,44.61,-69.40,ME,Mumps,0,3,4,0,0,0,0,0,0,0,0,0,2,0,24,5,6,2,2,0,1
Maine,44.61,-69.40,ME,Pertussis,20,21,47,55,26,5,33,46,22,21,91,196,55,174,83,49,80,53,205,737,332
Michigan,43.35,-84.56,MI,Measles,5,24,4,0,0,9,4,3,0,0,2,0,0,0,3,4,0,0,1,0,2
Michigan,43.35,-84.56,MI,Mumps,80,59,60,48,28,33,10,7,5,7,8,2,24,84,28,22,11,20,9,10,6
Michigan,43.35,-84.56,MI,Pertussis,116,96,103,59,71,71,74,127,149,62,140,303,321,632,292,317,900,1564,691,845,988
Minnesota,45.73,-93.92,MN,Measles,0,0,9,17,5,0,0,0,0,0,0,0,0,0,0,0,1,2,23,0,0
Minnesota,45.73,-93.92,MN,Mumps,2,5,11,7,7,13,1,7,6,5,1,4,0,180,28,9,7,8,2,7,3
Minnesota,45.73,-93.92,MN,Pertussis,393,142,238,433,547,439,281,575,308,429,207,1368,1571,320,393,1034,1121,1140,658,4142,865
Missouri,38.46,-92.30,MO,Measles,1,119,2,3,1,0,0,0,0,1,0,0,0,0,0,1,6,3,0,0,0
Missouri,38.46,-92.30,MO,Mumps,46,44,25,10,0,4,1,5,4,4,5,3,4,170,12,8,15,10,11,5,8
Missouri,38.46,-92.30,MO,Pertussis,144,45,63,74,80,59,75,97,107,147,208,595,656,308,118,561,1015,604,438,815,559
Mississippi,32.77,-89.68,MS,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,32.77,-89.68,MS,Mumps,17,11,10,16,14,7,1,0,5,5,1,0,1,2,2,0,1,0,3,0,0
Mississippi,32.77,-89.68,MS,Pertussis,1,12,3,10,11,6,3,4,5,9,15,17,62,37,255,105,75,106,49,77,59
Montana,46.90,-110.33,MT,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana,46.90,-110.33,MT,Mumps,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0
Montana,46.90,-110.33,MT,Pertussis,11,12,9,37,18,17,2,35,54,10,5,84,586,115,53,84,61,121,134,549,663
North Carolina,35.64,-79.84,NC,Measles,1,2,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,21
North Carolina,35.64,-79.84,NC,Mumps,231,73,42,27,12,12,9,9,5,2,2,5,13,43,28,6,4,10,9,2,4
North Carolina,35.64,-79.84,NC,Pertussis,199,140,137,186,118,112,104,129,75,46,144,101,127,334,330,94,220,343,198,612,583
North Dakota,47.54,-99.79,ND,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
North Dakota,47.54,-99.79,ND,Mumps,6,4,1,2,0,2,1,1,0,2,0,1,3,14,3,2,0,0,4,0,1
North Dakota,47.54,-99.79,ND,Pertussis,5,5,8,1,2,46,31,9,11,9,7,757,168,43,14,25,30,58,70,214,87
Nebraska,41.13,-98.29,NE,Measles,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nebraska,41.13,-98.29,NE,Mumps,1,1,4,0,1,0,1,2,1,2,0,0,0,368,8,4,7,23,6,1,0
Nebraska,41.13,-98.29,NE,Pertussis,14,14,14,15,16,21,9,28,8,9,16,97,295,101,70,277,141,214,56,240,232
New Hampshire,43.41,-71.57,NH,Measles,2,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
New Hampshire,43.41,-71.57,NH,Mumps,3,4,1,1,1,0,2,0,0,5,2,1,1,5,2,5,0,3,0,0,1
New Hampshire,43.41,-71.57,NH,Pertussis,168,107,70,197,150,149,116,159,31,78,119,134,186,226,80,49,76,23,170,269,131
New Jersey,40.31,-74.51,NJ,Measles,6,172,6,3,3,7,0,0,0,0,1,1,1,0,0,0,2,0,3,1,12
New Jersey,40.31,-74.51,NJ,Mumps,17,13,21,4,8,6,1,4,4,3,6,8,9,12,2,13,200,354,13,0,80
New Jersey,40.31,-74.51,NJ,Pertussis,85,15,20,31,14,29,19,56,23,34,188,223,192,301,229,246,244,169,312,1395,406
New Mexico,34.84,-106.24,NM,Measles,0,2,30,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0
New Mexico,34.84,-106.24,NM,Mumps,NN,NN,NN,NN,NN,NN,NN,1,2,1,1,0,0,3,0,0,1,2,1,0,1
New Mexico,34.84,-106.24,NM,Pertussis,43,35,148,64,198,100,155,91,137,200,78,158,196,147,74,94,85,144,273,924,613
Nevada,38.42,-117.12,NV,Measles,1,0,1,5,1,0,1,7,0,1,0,0,0,0,0,0,0,0,0,0,0
Nevada,38.42,-117.12,NV,Mumps,27,18,12,15,9,14,5,6,4,6,5,1,3,5,12,6,3,1,0,0,5
Nevada,38.42,-117.12,NV,Pertussis,5,3,119,41,51,41,14,15,41,48,35,53,50,71,37,28,24,38,34,112,181
New York,42.15,-74.94,NY,Measles,16,71,3,11,10,3,0,15,3,3,5,1,2,4,0,22,15,0,20,0,58
New York,42.15,-74.94,NY,Mumps,48,117,50,48,20,181,26,20,17,9,15,26,47,70,43,37,1453,1724,39,26,45
New York,42.15,-74.94,NY,Pertussis,489,257,320,594,292,406,1081,475,234,466,1217,2165,767,1195,699,570,363,832,1251,3171,864
Ohio,40.37,-82.78,OH,Measles,6,15,1,4,0,0,0,3,0,0,1,0,2,0,0,0,1,1,0,0,0
Ohio,40.37,-82.78,OH,Mumps,74,77,54,52,35,29,21,9,1,11,7,11,8,45,20,23,6,24,16,6,12
Ohio,40.37,-82.78,OH,Pertussis,523,162,175,289,165,299,322,389,327,441,328,766,1185,644,609,845,1096,1807,767,893,1464
Oklahoma,35.54,-96.92,OK,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,35.54,-96.92,OK,Mumps,13,23,1,1,3,4,4,3,0,2,2,1,2,10,8,1,3,1,4,4,1
Oklahoma,35.54,-96.92,OK,Pertussis,86,38,44,21,60,33,43,60,43,135,106,120,127,64,58,100,117,198,68,154,255
Oregon,44.57,-122.13,OR,Measles,0,0,0,13,0,0,12,0,3,0,0,0,0,0,0,0,0,0,2,0,3
Oregon,44.57,-122.13,OR,Mumps,NN,NN,NN,NN,NN,NN,NN,NN,NN,0,NN,0,NN,19,1,1,2,3,4,6,3
Oregon,44.57,-122.13,OR,Pertussis,106,106,67,64,48,89,61,110,57,188,438,627,619,112,123,181,252,286,314,906,486
Pennsylvania,40.58,-77.26,PA,Measles,0,5,0,10,5,1,0,0,4,1,8,0,0,2,0,1,12,0,12,0,0
Pennsylvania,40.58,-77.26,PA,Mumps,70,58,63,44,38,20,19,7,14,22,9,13,8,117,23,21,15,69,3,4,21
Pennsylvania,40.58,-77.26,PA,Pertussis,417,202,129,327,197,260,219,288,198,194,352,560,514,587,386,495,615,979,742,1945,633
Rhode Island,18.28,-66.34,RI,Measles,1,5,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rhode Island,18.28,-66.34,RI,Mumps,2,4,1,1,8,1,2,1,0,0,0,0,0,4,1,0,3,0,5,2,3
Rhode Island,18.28,-66.34,RI,Pertussis,14,8,7,40,19,21,49,28,9,22,55,53,53,101,59,87,45,44,62,113,160
South Carolina,33.82,-80.91,SC,Measles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,33.82,-80.91,SC,Mumps,17,8,13,7,11,8,6,11,7,3,5,0,1,10,2,0,2,4,3,1,2
South Carolina,33.82,-80.91,SC,Pertussis,73,14,28,49,32,29,27,63,34,48,208,206,405,199,102,147,262,392,156,224,218
South Dakota,44.29,-99.46,SD,Measles,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,44.29,-99.46,SD,Mumps,0,0,0,0,0,0,0,0,0,0,0,0,0,296,6,1,2,2,0,0,0
South Dakota,44.29,-99.46,SD,Pertussis,8,26,12,4,5,8,8,11,5,8,7,169,183,26,60,67,58,29,37,70,67
Tennessee,35.74,-86.75,TN,Measles,0,28,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Tennessee,35.74,-86.75,TN,Mumps,19,9,5,1,8,2,0,2,1,2,5,4,3,11,4,2,5,3,1,2,7
Tennessee,35.74,-86.75,TN,Pertussis,183,22,209,24,40,40,45,45,70,124,83,173,217,172,84,116,197,233,110,305,247
Texas,31.11,-97.65,TX,Measles,7,11,12,24,3,0,3,0,0,0,0,0,0,0,5,0,0,0,5,0,23
Texas,31.11,-97.65,TX,Mumps,231,234,43,44,75,42,35,27,14,15,18,23,25,58,21,20,40,121,68,15,13
Texas,31.11,-97.65,TX,Pertussis,121,160,217,151,233,288,152,327,615,1240,670,1184,2224,954,1051,2046,3358,2848,961,2218,3985
Utah,40.11,-111.85,UT,Measles,0,131,0,117,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,1,0
Utah,40.11,-111.85,UT,Mumps,6,28,11,3,8,5,4,7,1,7,5,2,7,5,1,4,4,3,0,3,2
Utah,40.11,-111.85,UT,Pertussis,45,37,37,26,29,297,58,47,78,115,127,276,618,779,387,242,220,352,645,1591,1308
Virginia,37.77,-78.21,VA,Measles,0,1,0,0,0,0,15,2,1,0,0,0,0,0,0,0,1,1,3,0,0
Virginia,37.77,-78.21,VA,Mumps,40,48,28,19,21,13,11,11,8,5,1,11,2,117,27,9,9,13,13,7,109
Virginia,37.77,-78.21,VA,Pertussis,75,37,31,108,59,56,65,134,272,168,219,400,363,221,128,198,222,384,399,625,418
Vermont,44.04,-72.71,VT,Measles,30,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Vermont,44.04,-72.71,VT,Mumps,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,2,0,1,0,1
Vermont,44.04,-72.71,VT,Pertussis,122,46,81,280,283,80,96,254,113,172,71,180,90,110,63,12,11,18,94,645,114
Washington,47.39,-121.57,WA,Measles,0,3,20,36,1,0,4,2,13,0,0,0,0,0,0,19,0,0,2,0,1
Washington,47.39,-121.57,WA,Mumps,14,23,16,26,21,11,2,10,2,0,11,2,3,42,53,14,6,7,2,2,2
Washington,47.39,-121.57,WA,Pertussis,91,140,491,830,481,407,739,458,184,575,844,842,1047,377,482,460,291,607,962,4916,748
Wisconsin,44.26,-89.64,WI,Measles,3,3,6,8,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
Wisconsin,44.26,-89.64,WI,Mumps,23,14,0,3,4,3,4,3,2,1,2,1,5,842,51,13,9,5,4,8,2
Wisconsin,44.26,-89.64,WI,Pertussis,376,149,158,169,219,191,117,140,199,180,697,5641,1089,221,327,192,170,583,1192,6880,1258
West Virginia,38.47,-80.97,WV,Measles,0,37,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
West Virginia,38.47,-80.97,WV,Mumps,23,5,0,0,0,0,0,1,0,0,3,2,0,24,3,1,1,2,1,2,0
West Virginia,38.47,-80.97,WV,Pertussis,8,6,1,7,6,7,6,3,6,35,28,51,53,66,32,11,40,166,101,85,19
Wyoming,42.75,-107.21,WY,Measles,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Wyoming,42.75,-107.21,WY,Mumps,5,3,0,1,1,1,0,1,2,0,1,1,2,9,1,0,0,1,1,1,0
Wyoming,42.75,-107.21,WY,Pertussis,2,0,1,8,7,8,2,4,1,11,130,35,53,83,24,18,22,12,13,62,75
