"ID","WindForce","Cliwoc.Class","Beaufort","mps"
"344","EN VECES BONANCIBLE Y OTRAS MUY FRESCO","2","4","6.69999981"
"345","EN VECES BONANCIBLE Y OTRAS MUY FUERTE","2","4","6.69999981"
"346","EN VECES CALMA Y OTRAS FRESCO","1","0","0"
"347","EN VECES CALMA Y OTRAS MUY BONANCIBLE","1","0","0"
"348","EN VECES CALMOSO Y OTRAS FRESQUITO","2","2","2.5999999"
"349","EN VECES FLOJITO Y OTRAS MAS FRESQUITO","2","2","2.5999999"
"350","EN VECES FRESCO","3","6","12.3000002"
"351","EN VECES FRESCO Y EN OTRAS BONANCIBLE","3","6","12.3000002"
"352","EN VECES FRESCO Y EN VECES BONANCIBLE","3","6","12.3000002"
"353","EN VECES FRESCO Y EN VECES CALMA","3","6","12.3000002"
"354","EN VECES FRESCO Y MUY VARIABLE","3","6","12.3000002"
"355","EN VECES FRESCO Y OTRAS BONANCIBLE","3","6","12.3000002"
"356","EN VECES FRESCO Y OTRAS BONANCIBLE Y CALMA","3","6","12.3000002"
"357","EN VECES FRESCO Y OTRAS MAS BONANCIBLE","3","6","12.3000002"
"358","EN VECES FRESCO Y OTRAS MUY BONANCIBLE","3","6","12.3000002"
"359","EN VECES FRESQUITO","3","5","9.30000019"
"360","EN VECES FRESQUITO Y EN OTRAS BONANCIBLE","3","5","9.30000019"
"361","EN VECES FRESQUITO Y OTRAS BONANCIBLE","3","5","9.30000019"
"362","EN VECES FRESQUITO Y OTRAS MAS BONANCIBLE","3","5","9.30000019"
"363","EN VECES FRESQUITO Y OTRAS MUY BONANCIBLE","3","5","9.30000019"
"364","EN VECES MUY BONANCIBLE","2","4","7.30000019"
"365","EN VECES MUY BONANCIBLE Y OTRAS CALMA","2","4","7.30000019"
"366","EN VECES MUY BONANCIBLE Y OTRAS FRESCO","2","4","7.30000019"
"367","EN VECES MUY CALMO Y OTRAS BONANCIBLE","1","0","0"
"368","EN VECES MUY FRESCO","3","7","15.3999996"
"369","EN VECES MUY FRESCO Y EN OTRAS BONANCIBLE","3","7","15.3999996"
"370","EN VECES MUY FRESCO Y EN VECES BONANCIBLE","3","7","15.3999996"
"371","EN VENTOLINAS","1","1","1"
"372","EN VENTOLINAS CALMOSAS Y CALMAS","1","1","1"
"373","EN VENTOLINAS MUY VARIABLES","1","1","1"
"374","EN VEZ BONANCIBLE Y EN OTRAS FRESCO","2","4","6.69999981"
"375","EN VEZ FRESCO Y EN OTRAS BONANCIBLE","3","6","12.3000002"
"376","EN VEZ FRESCO Y EN VEZ BONANCIBLE","3","6","12.3000002"
"377","ENDEBLE","2","2","2.5999999"
"378","ENDEBLE, VARIABLE CON CALMAS","2","2","2.5999999"
"379","endebles","2","2","2.5999999"
"380","ENTABLADO","8",NA,NA
"381","ENTABLADO FRESCO","3","6","12.3000002"
"382","ENTABLADO FRESQUITO","3","5","9.30000019"
"383","ENTABLANDOSE","8",NA,NA
"384","ENTABLANDOSE LA VENTOLINA","1","1","1"
"385","ENTERAMENTE BONANCIBLE Y EN RATOS EN CALMA","2","4","6.69999981"
"386","ENTERAMENTE CALMA","1","0","0"
"387","ENTERAMENTE MUY BONANCIBLE","2","4","6.69999981"
"388","ENTRANDO","8",NA,NA
"389","ENTRE CALMAS Y BONANZAS","8",NA,NA
"390","escasa","2","2","2.5999999"
"391","ESCASEANDO","8",NA,NA
"392","ESCASO","2","2","2.5999999"
"393","ESCASO GALENO","2","2","2.5999999"
"394","ESCASO Y FRESCO","2","2","2.5999999"
"395","escasos","2","2","2.5999999"
"396","EXTREMA FUERZA","4","10","26.7999992"
"397","FAVORABLE","8",NA,NA
"398","FAVORABLE AUNQUE VACILANTE","2","4","6.69999981"
"399","FEROCIDAD EXTRAORDINARIA","8",NA,NA
"400","FERSQUITO","3","5","9.30000019"
"401","FESQUITO","3","5","9.30000019"
"402","FIJO","2","3","4.5999999"
"403","firme","8",NA,NA
"404","FLO","2","3","4.5999999"
"405","FLOGITAS","2","2","2.5999999"
"406","flogito","2","2","2.5999999"
"407","floja","2","3","4.5999999"
"408","FLOJA VENTOLINA","2","3","4.5999999"
"409","FLOJAS","2","3","4.5999999"
"410","FLOJITO","2","2","2.5999999"
"411","FLOJITO CON TURBONADAS","2","2","2.5999999"
"412","FLOJITO HASTA CALMARSE","2","2","2.5999999"
"413","FLOJITO Y BONANCIBLE","2","2","2.5999999"
"414","FLOJITO Y CALMOSO","2","2","2.5999999"
"415","FLOJITO Y MUY BONANCIBLE","2","2","2.5999999"
"416","FLOJITO Y VARIABLE","2","2","2.5999999"
"417","FLOJITOS","2","2","2.5999999"
"418","FLOJITOS Y VARIABLE","2","2","2.5999999"
"419","FLOJO","2","3","4.5999999"
"420","FLOJO AL MEDIODIA","2","3","4.5999999"
"421","FLOJO CALMOSO","2","2","2.5999999"
"422","FLOJO FRESQUITO","3","5","9.30000019"
"423","FLOJO INCONSTANTE","2","3","4.5999999"
"424","FLOJO VARIABLE","2","3","4.5999999"
"425","FLOJO VARIO","2","3","4.5999999"
"426","FLOJO Y ESCASO","2","3","4.5999999"
"427","FLOJO Y VARIABLE","2","3","4.5999999"
"428","flojos","2","3","4.5999999"
"429","FLOXA","2","2","2.5999999"
"430","FLOXITO","2","2","2.5999999"
"431","FLOXO","2","3","4.5999999"
"432","FLOXO Y SECO","2","3","4.5999999"
"433","FLOXOS","2","2","2.5999999"
"434","FORTISIMO","4","11","30.8999996"
"435","FREESCO","3","6","12.3000002"
"436","FRESCA","3","6","12.3000002"
"437","FRESCACHON","3","7","15.3999996"
"438","frescachón","3","7","15.3999996"
"439","FRESCACHÓN A FLOXO","3","7","15.3999996"
"440","frescachón a mas intenso","3","7","16.2999992"
"441","FRESCACHON CON RACHAS","3","7","15.3999996"
"442","FRESCACHON EN RAFAGAS","3","7","15.3999996"
"443","FRESCACHON PERO ESCASO","3","7","15.3999996"
"444","FRESCACHON RAFAGOSO","3","7","15.3999996"
"445","FRESCACHON VARIO","3","7","15.3999996"
"446","FRESCACHON Y VARIABLE","3","7","15.3999996"
"447","frescachona","3","7","15.3999996"
"448","FRESCACHONAZO","3","7","15.3999996"
"449","FRESCARRON","3","7","15.3999996"
"450","FRESCAS","3","6","12.3000002"
"451","FRESCI","3","6","12.3000002"
"452","FRESCO","3","6","12.3000002"
"453","FRESCO A FUGADAS","3","6","12.3000002"
"454","FRESCO A RACHAS","3","6","12.3000002"
"455","FRESCO ACHUBASCADO","3","6","12.3000002"
"456","FRESCO APACIBLE","8",NA,NA
"457","FRESCO BONANCIBLE","2","4","6.69999981"
"458","FRESCO CON AGUACEROS","3","6","12.3000002"
"459","FRESCO CON AGUAS","3","6","12.3000002"
"460","FRESCO CON RACHAS","3","6","12.3000002"
"461","FRESCO CON RAFAGAS","3","6","12.3000002"
"462","FRESCO DESIGUAL","3","6","12.3000002"
"463","FRESCO EN CHUBASQUILLOS","3","6","12.3000002"
"464","FRESCO EN RAFAGAS","3","6","12.3000002"
"465","FRESCO INCONSTANTE","3","6","12.3000002"
"466","FRESCO SEGUIDO","3","6","12.3000002"
"467","fresco VARIABLE","3","6","12.3000002"
"468","FRESCO Y BONANCIBLE","3","6","12.3000002"
"469","FRESCO Y CALMOSO","3","6","12.3000002"
"470","FRESCO Y CHUBASCOSO","3","6","12.3000002"
"471","FRESCO Y CON AGUAS MENUDAS","3","6","12.3000002"
"472","FRESCO Y CONSTANTE","3","6","12.3000002"
"473","FRESCO Y EN CHUBASCOS","3","6","12.3000002"
"474","FRESCO Y EN RAFAGAS","3","6","12.3000002"
"475","FRESCO Y EN VECES BONANCIBLE","3","6","12.3000002"
"476","FRESCO Y VARIABLE","3","6","12.3000002"
"477","FRESCO, EN PARTICULAR POR LA NOCHE","3","6","12.3000002"
"478","FRESCOL","8",NA,NA
"479","FRESCONAZO","8",NA,NA
"480","FRESCONERO","8",NA,NA
"481","frescos","3","6","12.3000002"
"482","FRESCOTE","3","6","12.3000002"
"483","FRESQITO","3","5","9.30000019"
"484","FRESQIUTO","3","5","9.30000019"
"485","FRESQUECITO","3","5","9.30000019"
"486","FRESQUESITO","3","5","9.30000019"
"487","FRESQUESITO Y ESCASO","3","5","9.30000019"
"488","FRESQUITA","3","5","9.30000019"
"489","FRESQUITO","3","5","9.30000019"
"490","FRESQUITO CALMOSO","2","2","2.5999999"
"491","FRESQUITO CASI CALMA","1","1","1"
"492","FRESQUITO RAZONABLEMENTE","3","5","9.30000019"
"493","FRESQUITO VARIABLE","3","5","9.30000019"
"494","FRESQUITO Y BONANCIBLE","3","5","9.30000019"
"495","FRESQUITO Y CALMOSO","3","5","9.30000019"
"496","FRESQUITO Y CASI SIEMPRE BONANCIBLE","3","5","9.30000019"
"497","FRESQUITO Y CONSTANTE","3","5","9.30000019"
"498","FRESQUITO Y EN RAFAGAS","3","5","9.30000019"
"499","FRESQUITO Y EN RATOS BONANCIBLE","3","5","9.30000019"
"500","FRESQUITO Y FRESCO","3","5","9.30000019"
"501","FRESQUITO Y FUGOSO","3","5","9.30000019"
"502","FRESQUITO Y VARIABLE","3","5","9.30000019"
"503","FRESQUITO Y VARIABLE CON ALGUNAS CALMAS","3","5","9.30000019"
"504","FRESQUITO.","3","5","9.30000019"
"505","FRESQUITOS","3","5","9.30000019"
"506","FRESQUTO","3","5","9.30000019"
"507","FRSQUITO","3","5","9.30000019"
"508","FUE CAYENDO","8",NA,NA
"509","FUE ESCASEANDO","8",NA,NA
"510","FUERTE","3","7","15.3999996"
"511","FUERTE HURACAN","4","12","35"
"512","FUERTE Y FUGOSO","3","7","15.3999996"
"513","FUERTE Y TORMENTOSO","3","7","15.3999996"
"514","FUERTE Y VARIABLE","3","7","15.3999996"
"515","FUERTE, PARECIA HURACAN","4","12","35"
"516","FUERTECITO","3","6","12.3000002"
"517","fuertes","3","7","15.3999996"
"518","FUERTES EN RAFAGAS","3","7","15.3999996"
"519","FUERTES FUGADAS","8",NA,NA
"520","FUERTES RACHAS","8",NA,NA
"521","FUERTES RAFAGAS","3","7","15.3999996"
"522","fuertes ráfagas","3","7","15.3999996"
"523","FUERTES RÁFRAGAS","3","7","15.3999996"
"524","FUERZA","4","9","22.6000004"
"525","FUERZA VARIA","8",NA,NA
"526","FUERZA VARIABLE","8",NA,NA
"527","FUGADAS","8",NA,NA
"528","FUGADAS BASTANTE RECIAS","8",NA,NA
"529","FUGADAS DE CHUBASCOS","8",NA,NA
"530","FUGADAS DURAS","3","7","15.3999996"
"531","fugadas huracanadas","4","12","35"
"532","FUGOSO","2","4","6.69999981"
"533","FUGOSO Y BONANCIBLE","2","4","6.69999981"
"534","FUGOSOS","2","4","6.69999981"
"535","FURIA","4","9","22.6000004"
"536","FURIOSA","4","9","22.6000004"
"537","FURIOSAMENTE","4","9","22.6000004"
"538","FURIOSAS RAFAGAS","8",NA,NA
"539","FURIOSO","4","9","22.6000004"
"540","FURIOSO INCONSTANTE","4","9","22.6000004"
"541","GALENA","2","4","6.69999981"
"542","GALENITO","2","4","6.0999999"
"543","GALENO","2","4","6.69999981"
"544","GRAN FUERZA","4","9","22.6000004"
"545","GRANDE FUERZA","4","9","22.6000004"
"546","GRUESA","8",NA,NA
"547","HABIA CAIDO ALGO","8",NA,NA
"548","HERMOSO","8",NA,NA
"549","HUBO VARIAS CALMAS","1","0","0"
"550","HURACAN","4","12","35"
"551","HURACAN DESHECHO","4","12","35"
"552","HURACANADO","4","12","35"
"553","IGUALMENTE VARIABLE EN ESCASEAR Y ALARGAR","8",NA,NA
"554","IMPETUOSO","4","9","22.6000004"
"555","INAGUANTABLE","4","8","19"
"556","INCONSTANTE","8",NA,NA
"557","inconstantes","8",NA,NA
"558","INSOPORTABLE","4","9","22.6000004"
"559","INSOPORTABLE Y A FUGADAS CONTINUAMENTE","4","9","22.6000004"
"560","INSUFRIBLE","8",NA,NA
"561","intenso","8",NA,NA
"562","INTOLERABLE","4","9","22.6000004"
"563","INTOLERABLE Y EN FUGAS","4","9","22.6000004"
"564","INTOLERABLES RAFAGAS","4","9","22.6000004"
"565","LA BRISA CON MAS FUERZA","4","9","22.6000004"
"566","LARGO","8",NA,NA
"567","LARGO BONANCIBLE","2","4","6.69999981"
"568","LEVE","8",NA,NA
"569","LLANA","8",NA,NA
"570","LLOVIOSO","8",NA,NA
"571","LO MAS DEL TIEMPO CALMA","1","0","0"
"572","LO MAS FRESCO","3","6","12.3000002"
"573","LO MISMO CON MUY POCA DIFERENCIA","8",NA,NA
"574","MANEJABLE","8",NA,NA
"575","MANTUVO","8",NA,NA
"576","MAS","8",NA,NA
"577","MÁS  Y MENOS CALMA","1","0","0"
"578","MAS APACIBLE","2","4","6.69999981"
"579","MAS APACIBLES","2","4","6.69999981"
"580","mas benigno","2","4","6.69999981"
"581","mas benignos","2","4","6.69999981"
"582","MAS BONANCIBLE","2","4","6.69999981"
"583","MÁS BONANCIBLE","2","4","7.30000019"
"584","MAS BONANZA","2","4","6.69999981"
"585","MAS CALMO","1","0","0"
"586","MÁS CALMOSA","1","0","0"
"587","MAS CALMOSO","2","2","2.5999999"
"588","MAS CONSTANTE","8",NA,NA
"589","MAS CONSTANTES","8",NA,NA
"590","MAS CONSTANTES Y FRESQUITOS","8",NA,NA
"591","MAS DURO","4","8","19"
"592","MAS ESCASO","8",NA,NA
"593","MAS FAVORABLE","8",NA,NA
"594","mas flogito","2","2","2.5999999"
"595","mas floja","2","3","4.5999999"
"596","MAS FLOJO","2","3","4.5999999"
"597","MÁS FLOJO","2","3","4.5999999"
"598","MAS FRESCA","3","6","12.3000002"
"599","MAS FRESCO","3","6","12.3000002"
"600","MÁS FRESCO","3","6","12.3000002"
"601","MAS FRESCO Y CON MAS IGUALDAD","3","6","12.3000002"
"602","MAS FRESQUITO","3","5","9.30000019"
"603","MÁS FRESQUITO","3","5","9.30000019"
"604","MAS FRESQUITO Y VARIABLE","3","5","9.30000019"
"605","MAS FUERTE","3","7","15.3999996"
"606","MAS FUERZA","4","9","22.6000004"
"607","MAS INCLINADO","8",NA,NA
"608","MAS INCREMENTADO","8",NA,NA
"609","mas intenso","8",NA,NA
"610","MAS MODERADO","2","4","6.69999981"
"611","MAS O MENOS BONANCIBLE","2","4","6.69999981"
"612","MAS O MENOS FRESCO","3","6","12.3000002"
"613","MÁS O MENOS FRESCO","3","6","12.3000002"
"614","MAS O MENOS FRESQUITO","3","5","9.30000019"
"615","MAS O MENOS FUERTE","3","7","15.3999996"
"616","MAS RECIO","3","7","15.3999996"
"617","MAS SERENO","1","0","0"
"618","MAS VECES FRESCO Y OTRAS MUY BONANCIBLE","3","6","12.3000002"
"619","MÁS VIVO","8",NA,NA
"620","MAS Y MENOS BONANCIBLE","2","4","6.69999981"
"621","MÁS Y MENOS BONANCIBLE","2","4","6.69999981"
"622","MÁS Y MENOS CALMOSO","1","1","1"
"623","MÁS Y MENOS FRESCO","3","6","12.3000002"
"624","MAS Y MENOS FRESCOS","3","6","12.3000002"
"625","MEDIANAMENTE BONANCIBLE","2","4","6.69999981"
"626","MEDIANAMENTE FRESCO","3","6","12.3000002"
"627","MEDIANAMENTE FRESCO Y CON TURBONADAS","3","6","12.3000002"
"628","MEDIANAMENTE FRESCO Y MUY VARIABLE","3","6","12.3000002"
"629","MEDIANAMENTE FRESQUITO","3","5","9.30000019"
"630","MEDIANAMENTE FUERTE","3","7","15.3999996"
"631","MEDIANAMENTE RECIO","3","7","15.3999996"
"632","MEDIANO","8",NA,NA
"633","MEDIO FRESQUITO","3","5","9.30000019"
"634","MENOS","8",NA,NA
"635","MENOS CALMOSO","1","0","0"
"636","MENOS DURO","3","7","6.69999981"
"637","MENOS FRESCO","3","6","12.3000002"
"638","MENOS FRESQUITO","8",NA,NA
"639","menos fuerte","3","7","15.3999996"
"640","menos fuertes","3","7","15.3999996"
"641","MENOS FURIOSO","4","9","22.6000004"
"642","MENOS VIENTO","8",NA,NA
"643","MISMO VIENTO","8",NA,NA
"644","MISMO VIENTO PERO EN VECES MAS BONANCIBLE","8",NA,NA
"645","MITIGADO","8",NA,NA
"646","moderada","2","4","6.69999981"
"647","MODERADO","2","4","6.69999981"
"648","MODERADO PERO INCONSTANTE","8",NA,NA
"649","MUCHA","3","7","15.3999996"
"650","MUCHA VARIEDAD","8",NA,NA
"651","MUCHAS CALMAS","1","0","0"
"652","MUCHISIMA","4","8","19"
"653","MUCHISIMO","4","8","19"
"654","MUCHO","3","7","15.3999996"
"655","MUCHO CON AGUACEROS","3","7","15.3999996"
"656","MUCHO EN RAFAGAS","3","7","15.3999996"
"657","mucho mas fresco","3","6","13.1000004"
"658","MUCHO VIENTO","3","7","15.3999996"
"659","MUERTO","1","0","0"
"660","MUI BONANCIBLE","2","4","6.69999981"
"661","MUI BONANZIBLE","2","4","6.69999981"
"662","MUI FLIJO","2","2","2.5999999"
"663","MUI FLOJITO","2","2","2.5999999"
"664","MUI FLOJO","2","2","2.5999999"
"665","MUI FLOXAS","2","2","2.5999999"
"666","MUI FLOXO","2","2","2.5999999"
"667","MUI FRESCO","3","6","13.1000004"
"668","MUI RECIO","8",NA,NA
"669","MUI VONANCIBLE","2","4","7.30000019"
"670","MUI VONANCIBLES","2","4","7.30000019"
"671","MUJY FLOJO","2","2","2.5999999"
"672","MUO FLOXO","2","2","2.5999999"
